Language, Rank, Date
Objective-C, 11, 01-30-2018
Swift, 11, 06-30-2018
Scala, 12, 09-30-2012
Scala, 12, 01-31-2013
Scala, 12, 06-30-2013
Shell, 12, 01-30-2014
Perl, 12, 06-30-2014
Shell, 12, 01-30-2015
Shell, 12, 06-30-2015
Perl, 12, 01-30-2016
R, 12, 06-30-2016
Shell, 12, 01-30-2017
Shell, 12, 06-30-2017
Shell, 12, 01-30-2018
Scala, 12, 06-30-2018
Haskell, 13, 09-30-2012
ASP, 13, 01-31-2013
Assembly, 13, 06-30-2013
Scala, 13, 01-30-2014
R, 13, 06-30-2014
R, 13, 01-30-2015
R, 13, 06-30-2015
R, 13, 01-30-2016
Perl, 13, 06-30-2016
Swift, 13, 01-30-2017
Scala, 13, 06-30-2017
R, 13, 01-30-2018
Shell, 13, 06-30-2018
ASP, 14, 09-30-2012
Haskell, 14, 01-31-2013
Haskell, 14, 06-30-2013
Haskell, 14, 01-30-2014
Scala, 14, 06-30-2014
Scala, 14, 01-30-2015
Scala, 14, 06-30-2015
Scala, 14, 01-30-2016
Scala, 14, 06-30-2016
R, 14, 01-30-2017
R, 14, 06-30-2017
TypeScript, 14, 01-30-2018
Go, 14, 06-30-2018
Assembly, 15, 09-30-2012
Assembly, 15, 01-31-2013
ASP, 15, 06-30-2013
R, 15, 01-30-2014
Haskell, 15, 06-30-2014
Haskell, 15, 01-30-2015
Go, 15, 06-30-2015
Go, 15, 01-30-2016
Go, 15, 06-30-2016
Go, 15, 01-30-2017
Go, 15, 06-30-2017
Scala, 15, 01-30-2018
R, 15, 06-30-2018
ActionScript, 16, 09-30-2012
ActionScript, 16, 01-31-2013
R, 16, 06-30-2013
Matlab, 16, 01-30-2014
Matlab, 16, 06-30-2014
Matlab, 16, 01-30-2015
Haskell, 16, 06-30-2015
Haskell, 16, 01-30-2016
Haskell, 16, 06-30-2016
Perl, 16, 01-30-2017
Perl, 16, 06-30-2017
Go, 16, 01-30-2018
TypeScript, 16, 06-30-2018
R, 17, 09-30-2012
R, 17, 01-31-2013
CoffeeScript, 17, 06-30-2013
Clojure, 17, 01-30-2014
Visual Basic, 17, 06-30-2014
Go, 17, 01-30-2015
Matlab, 17, 06-30-2015
Matlab, 17, 01-30-2016
Swift, 17, 06-30-2016
TypeScript, 17, 01-30-2017
TypeScript, 17, 06-30-2017
PowerShell, 17, 01-30-2018
PowerShell, 17, 06-30-2018
Visual Basic, 18, 09-30-2012
CoffeeScript, 18, 01-31-2013
Groovy, 18, 06-30-2013
CoffeeScript, 18, 01-30-2014
CoffeeScript, 18, 06-30-2014
Visual Basic, 18, 01-30-2015
Swift, 18, 06-30-2015
Swift, 18, 01-30-2016
Matlab, 18, 06-30-2016
PowerShell, 18, 01-30-2017
PowerShell, 18, 06-30-2017
Perl, 18, 01-30-2018
Perl, 18, 06-30-2018
CoffeeScript, 19, 09-30-2012
Visual Basic, 19, 01-31-2013
Matlab, 19, 06-30-2013
Visual Basic, 19, 01-30-2014
Clojure, 19, 06-30-2014
Clojure, 19, 01-30-2015
Clojure, 19, 06-30-2015
Clojure, 19, 01-30-2016
Visual Basic, 19, 06-30-2016
Haskell, 19, 01-30-2017
Haskell, 19, 06-30-2017
Haskell, 19, 01-30-2018
Haskell, 19, 06-30-2018
Groovy, 20, 09-30-2012
Matlab, 20, 01-31-2013
Visual Basic, 20, 06-30-2013
Groovy, 20, 01-30-2014
Groovy, 20, 06-30-2014
Groovy, 20, 01-30-2015
Groovy, 20, 06-30-2015
Groovy, 20, 01-30-2016
Clojure, 20, 06-30-2016
Clojure, 20, 01-30-2017
CoffeeScript, 20, 06-30-2017
Lua, 20, 01-30-2018
Lua, 20, 06-30-2018
